Role,UserID,Username,DisplayName
Head Manager,268810754931687426,mchauge,McHauge
Head Manager,276372387891642369,frequencyv2,FreQuencyV2
Head Manager,417401632377012235,_cachemire_,ᴄᴀꜱʜᴍᴇʀᴇ
Head Manager,514477152008273929,wscieklamacica,S ꨄ
Manager,1356717799128567960,._elena_.,𝔈𝔩𝔢𝔫𝔞
World Creator,151092410628177920,zythoxic,Zythoxic
World Creator,268810754931687426,mchauge,McHauge
World Creator,1228872666505543771,ciccada20,Ciccada20
Head Host,402176935871905802,galaxiax3,Galaxia
Host,402176935871905802,galaxiax3,Galaxia
Trainee Host,276361015506239488,ievagavrilko,KilljoyEve
DJ,150383416494391296,kiwi_definitely,Kiwi
DJ,268810754931687426,mchauge,McHauge
DJ,281407216077242369,jxstsmileakito,ѕмιℓє αкιтσ ℓмηтяιχ
DJ,907567567005171732,lunaticlunaa,L
DJ,1141965133615214693,israre,Condoms®
Bouncer,203233908374896640,ezi_,E Z I
Bouncer,257144496179904512,tstauras83,tstauras83
Bouncer,410150891451187200,hot.fbx,H
Bouncer,907567567005171732,lunaticlunaa,L
Bouncer,1324915405487210678,moonsilk0,cindy
Photographer,223085614038384640,nistik,NistiK ツ
Photographer,750387250839289918,vanixfox,VaniX_Fox
Photographer,822592535099998248,303.030,Sex Desire
Photographer,951219965392998461,nzmesis,𓆩 . nemesis . 𓆪
